username,n_comments_full,n_comments_truncated,trunc_top1_original_L0,trunc_top3_original_L0,trunc_top1_anonymized_L3,trunc_top3_anonymized_L3,full_top1_original_L0,full_top3_original_L0,full_top1_anonymized_L3,full_top3_anonymized_L3,trunc_top1_L0_ct,trunc_top3_L0_ct,trunc_top1_L3_ct,trunc_top3_L3_ct,full_top1_L0_ct,full_top3_L0_ct,full_top1_L3_ct,full_top3_L3_ct
PristinePegasus,51,25,1.000000,1.000000,0.600000,0.600000,0.600000,1.000000,0.600000,0.800000,5/5,5/5,3/5,3/5,3/5,5/5,3/5,4/5
FeatheredScribbles,50,25,0.750000,0.875000,0.625000,0.625000,0.625000,0.875000,0.375000,0.750000,6/8,7/8,5/8,5/8,5/8,7/8,3/8,6/8
PeriaptChronicles,48,25,0.600000,0.800000,0.600000,0.600000,1.000000,1.000000,0.800000,0.800000,3/5,4/5,3/5,3/5,5/5,5/5,4/5,4/5
TumbleweedTwister,48,25,0.750000,1.000000,0.250000,0.250000,0.750000,1.000000,0.500000,0.500000,3/4,4/4,1/4,1/4,3/4,4/4,2/4,2/4
BlazeButterfly,47,25,0.833333,1.000000,0.666667,0.833333,0.500000,1.000000,0.500000,1.000000,5/6,6/6,4/6,5/6,3/6,6/6,3/6,6/6
GlitterGiraffe,47,25,0.571429,0.857143,0.428571,0.857143,0.857143,1.000000,0.571429,0.857143,4/7,6/7,3/7,6/7,6/7,7/7,4/7,6/7
AstralEmissary,46,25,0.666667,0.833333,0.666667,0.833333,0.833333,1.000000,0.666667,0.833333,4/6,5/6,4/6,5/6,5/6,6/6,4/6,5/6
EarthyElf,45,25,0.750000,1.000000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,3/4,4/4,2/4,2/4,4/4,4/4,4/4,4/4
GrittyGiraffe,45,25,0.600000,0.800000,0.600000,0.600000,0.200000,0.400000,0.600000,0.600000,3/5,4/5,3/5,3/5,1/5,2/5,3/5,3/5
OpalescentOwl,43,25,0.500000,1.000000,0.500000,1.000000,0.500000,1.000000,1.000000,1.000000,2/4,4/4,2/4,4/4,2/4,4/4,4/4,4/4
SquigglyCurls,43,25,0.666667,1.000000,0.666667,0.666667,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,2/3,2/3,3/3,2/3,3/3
NightCanvas,42,25,1.000000,1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,1.000000,5/5,5/5,4/5,4/5,5/5,5/5,5/5,5/5
EmeraldAlexandrite,40,3,0.500000,1.000000,0.333333,1.000000,1.000000,1.000000,1.000000,1.000000,3/6,6/6,2/6,6/6,6/6,6/6,6/6,6/6
PricklyPorcupine,38,25,0.666667,0.666667,0.166667,0.500000,0.833333,0.833333,0.666667,0.666667,4/6,4/6,1/6,3/6,5/6,5/6,4/6,4/6
CherryBlossomBandit,37,25,0.200000,0.800000,0.400000,0.600000,0.800000,0.800000,0.400000,1.000000,1/5,4/5,2/5,3/5,4/5,4/5,2/5,5/5
CrestfallenHarbinger,36,25,1.000000,1.000000,0.600000,0.800000,0.800000,1.000000,0.400000,0.800000,5/5,5/5,3/5,4/5,4/5,5/5,2/5,4/5
NobleNightingale,34,25,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.250000,0.500000,4/4,4/4,3/4,3/4,4/4,4/4,1/4,2/4
VivaciousSpright,34,25,0.666667,0.666667,0.666667,0.833333,0.666667,0.833333,0.666667,0.833333,4/6,4/6,4/6,5/6,4/6,5/6,4/6,5/6
CosmopolitanArcade,33,25,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,1/1,0/1,1/1,0/1,0/1
NebulaNavigator,33,25,0.800000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,4/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5
WalrusWhisper,33,25,0.750000,1.000000,0.250000,0.750000,0.500000,0.750000,0.250000,0.750000,3/4,4/4,1/4,3/4,2/4,3/4,1/4,3/4
FantasyFalcon,32,25,0.750000,0.750000,0.250000,0.500000,0.750000,0.750000,0.500000,0.750000,3/4,3/4,1/4,2/4,3/4,3/4,2/4,3/4
FruitfulPonder,32,25,0.400000,0.600000,0.000000,0.400000,0.600000,0.600000,0.200000,0.600000,2/5,3/5,0/5,2/5,3/5,3/5,1/5,3/5
ZephyrZebra,31,25,1.000000,1.000000,0.750000,1.000000,0.500000,1.000000,0.750000,1.000000,4/4,4/4,3/4,4/4,2/4,4/4,3/4,4/4
EtherealElephant,29,25,0.500000,0.750000,0.500000,0.500000,0.750000,0.750000,0.750000,0.750000,2/4,3/4,2/4,2/4,3/4,3/4,3/4,3/4
GildedGoat,29,25,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
ParrotParadise,29,25,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.666667,1.000000,3/3,3/3,2/3,3/3,3/3,3/3,2/3,3/3
LemonadeLlama,28,25,0.600000,0.600000,0.200000,0.400000,0.600000,0.600000,0.200000,0.400000,3/5,3/5,1/5,2/5,3/5,3/5,1/5,2/5
WaterWizard,28,25,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,1/2
JellyfishBlitz,27,25,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1/2,1/2,0/2,0/2,0/2,0/2,0/2,1/2
QuaintQuokka,27,25,0.750000,1.000000,0.750000,1.000000,0.750000,1.000000,1.000000,1.000000,3/4,4/4,3/4,4/4,3/4,4/4,4/4,4/4
SolarSerendipity,26,25,0.500000,0.750000,0.500000,0.750000,0.500000,1.000000,0.250000,0.750000,2/4,3/4,2/4,3/4,2/4,4/4,1/4,3/4
SquigglySquid,26,25,0.750000,0.750000,0.500000,1.000000,1.000000,1.000000,0.250000,0.250000,3/4,3/4,2/4,4/4,4/4,4/4,1/4,1/4
TangyZephyr,26,25,0.500000,1.000000,0.250000,0.750000,0.500000,1.000000,0.500000,1.000000,2/4,4/4,1/4,3/4,2/4,4/4,2/4,4/4
BraveNomad,25,25,1.000000,1.000000,0.500000,0.750000,0.750000,1.000000,0.500000,0.750000,4/4,4/4,2/4,3/4,3/4,4/4,2/4,3/4
EdgeEagle,25,25,1.000000,1.000000,0.500000,1.000000,0.500000,1.000000,0.250000,1.000000,4/4,4/4,2/4,4/4,2/4,4/4,1/4,4/4
JitteryJellyfish,25,25,0.666667,1.000000,0.500000,0.833333,1.000000,1.000000,0.666667,0.833333,4/6,6/6,3/6,5/6,6/6,6/6,4/6,5/6
RustyGalaxy,25,25,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
VintageValley,25,25,0.666667,0.833333,0.500000,1.000000,0.666667,0.833333,0.666667,0.833333,4/6,5/6,3/6,6/6,4/6,5/6,4/6,5/6
AuroraArmadillo,24,24,0.750000,1.000000,0.500000,0.750000,0.750000,1.000000,0.000000,0.500000,3/4,4/4,2/4,3/4,3/4,4/4,0/4,2/4
DoodlesDolphin,24,24,0.833333,0.833333,0.500000,0.666667,0.666667,1.000000,0.333333,0.500000,5/6,5/6,3/6,4/6,4/6,6/6,2/6,3/6
CranberryCroissant,23,23,0.600000,0.600000,0.400000,0.800000,0.600000,0.800000,0.400000,0.600000,3/5,3/5,2/5,4/5,3/5,4/5,2/5,3/5
MaroonMystery,23,23,1.000000,1.000000,0.600000,0.800000,1.000000,1.000000,0.800000,0.800000,5/5,5/5,3/5,4/5,5/5,5/5,4/5,4/5
AlmondAardvark,22,22,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
DewyDaffodils,22,22,1.000000,1.000000,1.000000,1.000000,0.666667,1.000000,0.666667,0.666667,3/3,3/3,3/3,3/3,2/3,3/3,2/3,2/3
FluffyFlamingo,22,22,0.333333,0.666667,0.666667,0.666667,0.333333,1.000000,0.333333,0.666667,1/3,2/3,2/3,2/3,1/3,3/3,1/3,2/3
GlobularGalaxy,22,22,1.000000,1.000000,0.833333,0.833333,0.833333,1.000000,0.666667,0.833333,6/6,6/6,5/6,5/6,5/6,6/6,4/6,5/6
KeysOfAeolus,22,22,0.333333,1.000000,0.333333,0.666667,0.666667,1.000000,0.333333,0.666667,1/3,3/3,1/3,2/3,2/3,3/3,1/3,2/3
AzureAlchemy,21,21,0.600000,1.000000,0.400000,0.600000,0.400000,0.800000,0.400000,0.600000,3/5,5/5,2/5,3/5,2/5,4/5,2/5,3/5
CloudberryPromise,21,21,0.833333,1.000000,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,5/6,6/6,5/6,5/6,5/6,5/6,5/6,5/6
CosmicChroma,21,21,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.666667,1.000000,3/3,3/3,2/3,3/3,3/3,3/3,2/3,3/3
GarnetGolem,21,21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
MoonlitMarigold,21,21,0.500000,1.000000,0.333333,0.833333,0.666667,0.833333,0.500000,0.833333,3/6,6/6,2/6,5/6,4/6,5/6,3/6,5/6
QuirkyQuasar,21,21,0.500000,0.500000,0.250000,0.250000,0.250000,0.500000,0.250000,0.250000,2/4,2/4,1/4,1/4,1/4,2/4,1/4,1/4
XanaduXylophone,21,21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,0/1,1/1
CloudyTales,20,20,1.000000,1.000000,0.600000,0.800000,1.000000,1.000000,0.600000,1.000000,5/5,5/5,3/5,4/5,5/5,5/5,3/5,5/5
JovialJay,20,20,0.250000,0.750000,0.750000,0.750000,0.250000,0.750000,0.250000,0.750000,1/4,3/4,3/4,3/4,1/4,3/4,1/4,3/4
LunarLabyrinth,20,20,0.666667,1.000000,0.333333,0.666667,0.666667,1.000000,1.000000,1.000000,2/3,3/3,1/3,2/3,2/3,3/3,3/3,3/3
MellowMandrill,20,20,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,2/3,2/3,1/3,1/3,2/3,2/3,1/3,1/3
SiriusSoothsayer,20,20,1.000000,1.000000,0.500000,0.750000,1.000000,1.000000,0.250000,1.000000,4/4,4/4,2/4,3/4,4/4,4/4,1/4,4/4
AstuteOracle,19,19,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,0.000000,1.000000,2/3,2/3,3/3,3/3,2/3,2/3,0/3,3/3
DreamDingo,19,19,0.750000,1.000000,0.750000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,4/4,3/4,4/4,3/4,4/4,3/4,4/4
InkyStardust,19,19,1.000000,1.000000,0.833333,0.833333,1.000000,1.000000,0.333333,0.833333,6/6,6/6,5/6,5/6,6/6,6/6,2/6,5/6
LuminousLizard,19,19,0.400000,0.600000,0.400000,0.400000,0.600000,0.600000,0.400000,0.400000,2/5,3/5,2/5,2/5,3/5,3/5,2/5,2/5
PixelatedDreamscape,19,19,1.000000,1.000000,0.000000,0.666667,1.000000,1.000000,0.000000,0.666667,3/3,3/3,0/3,2/3,3/3,3/3,0/3,2/3
VermillionVulture,19,19,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,1.000000,3/3,3/3,2/3,2/3,3/3,3/3,2/3,3/3
BlueberryBiscuit,18,18,0.666667,0.666667,0.333333,0.666667,0.666667,1.000000,0.333333,0.333333,2/3,2/3,1/3,2/3,2/3,3/3,1/3,1/3
BronzeBudgie,18,18,1.000000,1.000000,0.500000,0.750000,1.000000,1.000000,1.000000,1.000000,4/4,4/4,2/4,3/4,4/4,4/4,3/3,3/3
DuneDrifter,18,18,1.000000,1.000000,0.500000,1.000000,0.750000,1.000000,0.750000,0.750000,4/4,4/4,2/4,4/4,3/4,4/4,3/4,3/4
LavenderLantern,18,18,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1/1,1/1,0/1,0/1,1/1,1/1,0/1,0/1
LollipopLeprechaun,18,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
LunarBlossoms,18,18,0.000000,1.000000,0.000000,0.500000,0.500000,1.000000,0.000000,0.500000,0/2,2/2,0/2,1/2,1/2,2/2,0/2,1/2
MidnightMandolin,18,18,0.500000,0.750000,0.500000,0.750000,0.500000,1.000000,0.250000,0.750000,2/4,3/4,2/4,3/4,2/4,4/4,1/4,3/4
OrionOasis,18,18,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,1/3,1/3,1/3,2/3,1/3,2/3,1/3,2/3
ShimmerShark,18,18,0.500000,0.500000,0.500000,1.000000,0.500000,1.000000,0.500000,1.000000,1/2,1/2,1/2,2/2,1/2,2/2,1/2,2/2
ShimmyShake,18,18,0.800000,0.800000,0.600000,0.800000,0.600000,0.800000,0.600000,0.800000,4/5,4/5,3/5,4/5,3/5,4/5,3/5,4/5
StardustSombrero,18,18,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2
YetiYacht,18,18,0.200000,0.600000,0.600000,0.600000,0.400000,0.600000,0.400000,0.600000,1/5,3/5,3/5,3/5,2/5,3/5,2/5,3/5
CosmicCuttlefish,17,17,0.500000,0.750000,0.750000,0.750000,1.000000,1.000000,0.250000,0.750000,2/4,3/4,3/4,3/4,4/4,4/4,1/4,3/4
CuteCentaur,17,17,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,0.750000,4/4,4/4,2/4,4/4,4/4,4/4,2/4,3/4
GrittyChrysanthemum,17,17,0.250000,0.750000,0.250000,0.500000,0.500000,0.750000,0.500000,0.500000,1/4,3/4,1/4,2/4,2/4,3/4,2/4,2/4
JazzyJamboree,17,17,0.500000,1.000000,0.500000,0.500000,0.750000,1.000000,0.500000,0.500000,2/4,4/4,2/4,2/4,3/4,4/4,2/4,2/4
MosaicTrance,17,17,1.000000,1.000000,0.000000,0.250000,0.750000,0.750000,0.000000,0.250000,4/4,4/4,0/4,1/4,3/4,3/4,0/4,1/4
SparkSprite,17,17,0.500000,1.000000,0.500000,0.750000,0.500000,1.000000,0.500000,0.500000,2/4,4/4,2/4,3/4,2/4,4/4,2/4,2/4
SunflowerSymphony,17,17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
TaurusTraveler,17,17,1.000000,1.000000,0.000000,0.666667,1.000000,1.000000,0.333333,0.666667,3/3,3/3,0/3,2/3,3/3,3/3,1/3,2/3
TerrificTurtle,17,17,0.750000,0.750000,0.250000,0.500000,0.750000,0.750000,0.000000,0.250000,3/4,3/4,1/4,2/4,3/4,3/4,0/4,1/4
TropicalTarantula,17,17,0.750000,1.000000,0.000000,0.500000,1.000000,1.000000,0.000000,1.000000,3/4,4/4,0/4,2/4,4/4,4/4,0/4,4/4
WinterWhisper,17,17,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,0.666667,2/3,3/3,2/3,3/3,2/3,3/3,2/3,2/3
CosmicCarrot,16,16,0.833333,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,1.000000,5/6,6/6,6/6,6/6,6/6,6/6,4/6,6/6
CrimsonCondor,16,16,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000,1/2,1/2,1/2,1/2,1/2,1/2,0/2,1/2
DawnDandelion,16,16,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,0.600000,1.000000,5/5,5/5,2/5,5/5,5/5,5/5,3/5,5/5
ElysiumDreamer,16,16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
LostAstrologer,16,16,1.000000,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,3/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
MirthfulQuill,16,16,0.750000,0.750000,0.500000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,3/4,2/4,4/4,3/4,4/4,3/4,4/4
PassionPanda,16,16,0.857143,1.000000,0.857143,1.000000,1.000000,1.000000,0.714286,0.857143,6/7,7/7,6/7,7/7,7/7,7/7,5/7,6/7
SandcastlesInAir,16,16,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.750000,0.750000,4/4,4/4,3/4,3/4,4/4,4/4,3/4,3/4
SummerSolstice,16,16,0.800000,1.000000,0.800000,1.000000,1.000000,1.000000,0.800000,1.000000,4/5,5/5,4/5,5/5,5/5,5/5,4/5,5/5
SunKissedMyth,16,16,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,1/2
TimelyTeddy,16,16,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,2/3,3/3,3/3,3/3,3/3,3/3,1/3,3/3
TumbleweedTurtle,16,16,1.000000,1.000000,0.666667,0.666667,0.666667,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,2/3,3/3,2/3,2/3
WanderingWolf,16,16,0.800000,1.000000,0.600000,1.000000,0.800000,1.000000,0.800000,1.000000,4/5,5/5,3/5,5/5,4/5,5/5,4/5,5/5
CelestialBard,15,15,0.666667,0.833333,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,4/6,5/6,4/6,4/6,6/6,6/6,4/6,4/6
DaintyDolphin,15,15,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
DreamyDingo,15,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4
EtherealEcho,15,15,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,1/1,1/1,0/1,0/1
FieryPheonix,15,15,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
FireflyFlirt,15,15,0.857143,1.000000,0.428571,0.571429,0.857143,1.000000,0.571429,0.571429,6/7,7/7,3/7,4/7,6/7,7/7,4/7,4/7
GraciousGossamer,15,15,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
JadeJuggler,15,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
SeaSerpentShadow,15,15,0.333333,1.000000,0.333333,0.666667,0.333333,1.000000,0.333333,1.000000,1/3,3/3,1/3,2/3,1/3,3/3,1/3,3/3
SupernovaScribe,15,15,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1/1,1/1,0/1,1/1,1/1,1/1,0/1,0/1
WhirlwindWolf,15,15,0.750000,0.750000,0.750000,1.000000,0.750000,0.750000,0.750000,1.000000,3/4,3/4,3/4,4/4,3/4,3/4,3/4,4/4
WombatWonderland,15,15,1.000000,1.000000,0.600000,0.600000,0.600000,0.800000,0.800000,1.000000,5/5,5/5,3/5,3/5,3/5,4/5,4/5,5/5
AndromedaAdventurer,14,14,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
BoomerangButterfly,14,14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
BopsieBunny,14,14,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,0/1,0/1,0/1,0/1,1/1,0/1,0/1
CelestialCipher,14,14,0.666667,1.000000,0.333333,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,3/3,1/3,2/3,2/3,3/3,1/3,2/3
CroissantCrusader,14,14,0.666667,1.000000,1.000000,1.000000,0.666667,1.000000,0.333333,1.000000,2/3,3/3,3/3,3/3,2/3,3/3,1/3,3/3
DuskDancer,14,14,0.666667,1.000000,0.500000,0.833333,0.666667,0.833333,0.833333,0.833333,4/6,6/6,3/6,5/6,4/6,5/6,5/6,5/6
GlitterGlacier,14,14,0.666667,0.666667,0.000000,0.000000,0.666667,0.666667,0.333333,0.333333,2/3,2/3,0/3,0/3,2/3,2/3,1/3,1/3
JellybeanJamboree,14,14,0.750000,1.000000,1.000000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,4/4,4/4,4/4,3/4,4/4,3/4,4/4
