username,n_comments_full,n_comments_truncated,trunc_top1_original_L0,trunc_top3_original_L0,trunc_top1_anonymized_L3,trunc_top3_anonymized_L3,full_top1_original_L0,full_top3_original_L0,full_top1_anonymized_L3,full_top3_anonymized_L3,trunc_top1_L0_ct,trunc_top3_L0_ct,trunc_top1_L3_ct,trunc_top3_L3_ct,full_top1_L0_ct,full_top3_L0_ct,full_top1_L3_ct,full_top3_L3_ct
LunarLantern,14,14,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3
MoonbeamMoose,14,14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
MythicCentaur,14,14,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000,2/3,3/3,1/3,3/3,1/3,3/3,1/3,3/3
NovaNomad,14,14,0.750000,0.750000,0.500000,0.750000,0.750000,0.750000,0.750000,0.750000,3/4,3/4,2/4,3/4,3/4,3/4,3/4,3/4
OptimalOctopus,14,14,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,3/3,3/3,2/3,2/3
SilverMilkyway,14,14,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ColorCascade,13,13,0.500000,1.000000,0.500000,1.000000,0.000000,1.000000,0.000000,0.500000,1/2,2/2,1/2,2/2,0/2,2/2,0/2,1/2
FunkyForce,13,13,0.666667,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000,2/3,3/3,1/3,3/3,1/3,3/3,1/3,3/3
GlimmerGoblin,13,13,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,3/3,3/3,2/3,2/3
GrisailleWhisper,13,13,0.571429,1.000000,0.714286,0.857143,0.714286,1.000000,0.571429,0.857143,4/7,7/7,5/7,6/7,5/7,7/7,4/7,6/7
HuckleberryHarmony,13,13,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,1/3,1/3,1/3,1/3,2/3,2/3,1/3,1/3
LuckyLemur,13,13,0.500000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1/2,2/2,1/2,2/2,2/2,2/2,2/2,2/2
OctopusOverture,13,13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3
RoamageRooster,13,13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
StellarStarfish,13,13,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
TurquoiseToucan,13,13,0.666667,1.000000,0.333333,0.333333,1.000000,1.000000,0.333333,0.333333,2/3,3/3,1/3,1/3,3/3,3/3,1/3,1/3
VibrantVulture,13,13,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
WildWolf,13,13,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.500000,2/2,2/2,0/2,0/2,2/2,2/2,0/2,1/2
WiseMoose,13,13,0.666667,1.000000,0.666667,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,3/3,2/3,2/3,2/3,3/3,1/3,2/3
WispWeasel,13,13,1.000000,1.000000,0.500000,0.833333,1.000000,1.000000,0.333333,0.666667,6/6,6/6,3/6,5/6,6/6,6/6,2/6,4/6
ZenZebra,13,13,0.666667,0.666667,0.333333,0.333333,0.666667,1.000000,0.000000,0.666667,2/3,2/3,1/3,1/3,2/3,3/3,0/3,2/3
ZingyZebra,13,13,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
CheeryCheetah,12,12,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,3/3,3/3,2/3,2/3
ExoticElephant,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,2/2,2/2
FathomFable,12,12,0.666667,1.000000,0.333333,0.333333,0.666667,1.000000,0.333333,0.666667,2/3,3/3,1/3,1/3,2/3,3/3,1/3,2/3
HummingbirdHalo,12,12,1.000000,1.000000,0.500000,0.750000,0.750000,1.000000,0.500000,0.750000,4/4,4/4,2/4,3/4,3/4,4/4,2/4,3/4
LuminousLynx,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,1/2,2/2
LyricalMariner,12,12,0.500000,1.000000,0.000000,0.000000,0.500000,1.000000,0.500000,1.000000,1/2,2/2,0/2,0/2,1/2,2/2,1/2,2/2
Moonlit_Dreamer,12,12,1.000000,1.000000,0.400000,1.000000,1.000000,1.000000,0.800000,1.000000,5/5,5/5,2/5,5/5,5/5,5/5,4/5,5/5
NoodleNightingale,12,12,0.666667,0.666667,0.333333,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,2/3,1/3,2/3,2/3,3/3,1/3,2/3
ParadiseParakeet,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,1/2,2/2
ProsperousCadenza,12,12,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0/1,1/1,0/1,1/1,1/1,1/1,0/1,1/1
ProximaPilgrim,12,12,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.000000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,0/2,1/2
QuirkyQuokka,12,12,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,0.666667,1.000000,3/3,3/3,2/3,3/3,3/3,3/3,2/3,3/3
SkySkunk,12,12,0.666667,0.666667,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,2/3,2/3,2/3,2/3,1/3,2/3,2/3,2/3
SolarSailor,12,12,0.333333,1.000000,0.333333,0.666667,0.666667,1.000000,0.666667,0.666667,1/3,3/3,1/3,2/3,2/3,3/3,2/3,2/3
SolsticeSomber,12,12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
SwankySeahorse,12,12,0.250000,0.750000,0.500000,0.750000,0.250000,0.750000,0.250000,0.750000,1/4,3/4,2/4,3/4,1/4,3/4,1/4,3/4
TidalTurtle,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.000000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,0/2,2/2
ToffeeGalactic,12,12,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1/1,1/1,0/1,1/1,1/1,1/1,0/1,1/1
TwilightMaestro,12,12,0.800000,1.000000,0.800000,1.000000,0.800000,1.000000,1.000000,1.000000,4/5,5/5,4/5,5/5,4/5,5/5,5/5,5/5
ZestoZebra,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,1/2,2/2
CascadeCacti,11,11,0.500000,1.000000,0.500000,0.500000,0.500000,1.000000,0.500000,0.500000,1/2,2/2,1/2,1/2,1/2,2/2,1/2,1/2
CherryBlush,11,11,0.333333,1.000000,0.333333,1.000000,1.000000,1.000000,0.333333,1.000000,1/3,3/3,1/3,3/3,3/3,3/3,1/3,3/3
CygnusCartographer,11,11,1.000000,1.000000,0.600000,0.800000,1.000000,1.000000,0.400000,0.600000,5/5,5/5,3/5,4/5,5/5,5/5,2/5,3/5
DandyDolphin,11,11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
MandalaPassages,11,11,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.000000,0.000000,1/3,2/3,1/3,1/3,1/3,2/3,0/3,0/3
NebulousNimbus,11,11,0.750000,1.000000,0.500000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,4/4,2/4,4/4,3/4,4/4,3/4,4/4
StarlitSage,11,11,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.000000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,0/2,1/2
StellarScript,11,11,0.666667,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,2/3,2/3,1/3,2/3,1/3,2/3,2/3,2/3
TadpoleTango,11,11,0.400000,1.000000,0.600000,1.000000,0.400000,1.000000,0.600000,0.800000,2/5,5/5,3/5,5/5,2/5,5/5,3/5,4/5
WinterWarlock,11,11,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.000000,0.666667,3/3,3/3,1/3,1/3,3/3,3/3,0/3,2/3
BoltBarracuda,10,10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
DownpourSage,10,10,0.800000,0.800000,0.600000,0.600000,0.800000,0.800000,0.800000,0.800000,4/5,4/5,3/5,3/5,4/5,4/5,4/5,4/5
DriftwoodDonkey,10,10,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
GlitterGladiator,10,10,0.750000,1.000000,0.500000,0.750000,1.000000,1.000000,0.750000,1.000000,3/4,4/4,2/4,3/4,4/4,4/4,3/4,4/4
HallowedVortex,10,10,1.000000,1.000000,0.800000,1.000000,0.800000,1.000000,0.600000,1.000000,5/5,5/5,4/5,5/5,4/5,5/5,3/5,5/5
MysticMagnet,10,10,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,2/3,3/3,2/3,3/3,2/3,3/3,2/3,3/3
MysticMoose,10,10,1.000000,1.000000,0.666667,0.833333,1.000000,1.000000,0.666667,0.833333,6/6,6/6,4/6,5/6,6/6,6/6,4/6,5/6
PancakePanda,10,10,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,1/2,2/2,2/2,2/2
PiquantAurora,10,10,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.333333,0.666667,3/3,3/3,2/3,2/3,3/3,3/3,1/3,2/3
SilentStellar,10,10,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,2/2,2/2,0/2,0/2,2/2,2/2,0/2,2/2
TangyToucan,10,10,0.800000,0.800000,0.600000,0.800000,0.200000,0.800000,0.200000,0.800000,4/5,4/5,3/5,4/5,1/5,4/5,1/5,4/5
VegaVisionary,10,10,0.800000,1.000000,0.400000,0.600000,0.600000,1.000000,0.400000,0.800000,4/5,5/5,2/5,3/5,3/5,5/5,2/5,4/5
ZucchiniZeppelin,10,10,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,2/3,2/3,2/3,2/3,2/3,2/3,1/3,1/3
AdorableAardvark,9,9,0.500000,1.000000,0.500000,1.000000,0.500000,1.000000,1.000000,1.000000,1/2,2/2,1/2,2/2,1/2,2/2,2/2,2/2
DawningCanary,9,9,1.000000,1.000000,0.333333,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,1/3,2/3,3/3,3/3,2/3,2/3
LoyalLynx,9,9,0.666667,1.000000,0.333333,0.666667,0.666667,1.000000,0.333333,1.000000,2/3,3/3,1/3,2/3,2/3,3/3,1/3,3/3
MoonBeamCatcher,9,9,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.500000,0.500000,4/4,4/4,3/4,3/4,4/4,4/4,2/4,2/4
MundaneMuse,9,9,0.833333,1.000000,0.666667,1.000000,1.000000,1.000000,0.500000,0.666667,5/6,6/6,4/6,6/6,6/6,6/6,3/6,4/6
RaspberryRobin,9,9,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
ThunderThistle,9,9,1.000000,1.000000,0.333333,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,1/3,2/3,3/3,3/3,2/3,2/3
WaterfallMelody,9,9,0.600000,1.000000,0.000000,0.400000,0.400000,0.600000,0.000000,0.400000,3/5,5/5,0/5,2/5,2/5,3/5,0/5,2/5
WonderIgnite,9,9,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2
ZestfulZebra,9,9,1.000000,1.000000,0.333333,0.333333,0.666667,1.000000,0.333333,0.333333,3/3,3/3,1/3,1/3,2/3,3/3,1/3,1/3
BlissfulThrone,8,8,0.333333,1.000000,0.666667,1.000000,0.666667,0.666667,0.333333,0.666667,1/3,3/3,2/3,3/3,2/3,2/3,1/3,2/3
CinnamonMonsoon,8,8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,1/2,2/2
CraftyCricket,8,8,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0.250000,0.250000,2/4,2/4,1/4,1/4,2/4,2/4,1/4,1/4
CrystalCoyote,8,8,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.500000,2/4,2/4,2/4,2/4,2/4,2/4,1/4,2/4
CrystallineCrescent,8,8,1.000000,1.000000,0.250000,0.500000,1.000000,1.000000,0.250000,0.750000,4/4,4/4,1/4,2/4,4/4,4/4,1/4,3/4
KangarooKaleidoscope,8,8,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
QuokkaQuicksand,8,8,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
SassyHelvetica,8,8,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,0/1,0/1,1/1,1/1,1/1,1/1
SeashellSprite,8,8,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,2/2
SilentEchoes,8,8,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
SolarScout,8,8,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,1/2,2/2
TwilightTracker,8,8,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
WhimsicalPixie,8,8,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,1/2
ZanyZinnia,8,8,1.000000,1.000000,0.600000,1.000000,0.800000,1.000000,0.800000,0.800000,5/5,5/5,3/5,5/5,4/5,5/5,4/5,4/5
HarmonyHawk,7,7,0.333333,0.666667,0.000000,0.000000,0.333333,1.000000,0.000000,0.000000,1/3,2/3,0/3,0/3,1/3,3/3,0/3,0/3
JacarandaJouissance,7,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0/1,0/1,0/1,0/1,0/1,0/1,0/1,0/1
JigglyJelly,7,7,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,0/2,1/2,2/2,2/2,1/2,2/2
LiquidSunshine,7,7,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,3/3,3/3,2/3,3/3,3/3,3/3,3/3,3/3
NightfallNarwhal,7,7,0.000000,1.000000,0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,0/2,2/2,0/2,0/2,1/2,2/2,0/2,0/2
PalettePrismatic,7,7,0.500000,1.000000,0.250000,0.750000,0.500000,1.000000,0.250000,0.750000,2/4,4/4,1/4,3/4,2/4,4/4,1/4,3/4
PulsarPioneer,7,7,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,0/1,0/1,0/1,0/1,1/1,0/1,0/1
VintageVixen,7,7,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.500000,0.500000,2/2,2/2,2/2,2/2,1/2,2/2,1/2,1/2
AndromedaArtist,6,6,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,1.000000,3/3,3/3,2/3,2/3,3/3,3/3,2/3,3/3
CrypticResonance,6,6,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1/2,2/2,2/2,2/2,2/2,2/2,1/2,2/2
EnigmaElephant,6,6,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1/1,1/1,0/1,1/1,1/1,1/1,0/1,1/1
GorillaGiggles,6,6,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
GossamerGoat,6,6,0.500000,1.000000,0.500000,0.500000,0.500000,1.000000,0.500000,0.500000,1/2,2/2,1/2,1/2,1/2,2/2,1/2,1/2
MajesticMarten,6,6,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,4/4,4/4,2/4,4/4,4/4,4/4,2/4,4/4
NibblingNutmeg,6,6,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0.000000,0.500000,0/2,1/2,1/2,1/2,0/2,1/2,0/2,1/2
QuasarQuadrant,6,6,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,0.666667,1.000000,3/3,3/3,1/3,3/3,3/3,3/3,2/3,3/3
SublimeApotheosis,6,6,1.000000,1.000000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,0/2,1/2,2/2,2/2,2/2,2/2
WhiskWizard,6,6,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,0/2,2/2,2/2,2/2,2/2,2/2
BunnyBoulevard,5,5,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
DreamDervish,5,5,0.750000,1.000000,0.500000,0.500000,0.750000,1.000000,0.750000,0.750000,3/4,4/4,2/4,2/4,3/4,4/4,3/4,3/4
JollyJaguar,5,5,0.666667,1.000000,0.666667,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,3/3,2/3,2/3,2/3,3/3,1/3,2/3
OblivionOracle,5,5,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,0/1,0/1,1/1,1/1,1/1,1/1
QuirkyQuail,5,5,0.750000,1.000000,0.750000,1.000000,0.750000,1.000000,0.750000,1.000000,3/4,4/4,3/4,4/4,3/4,4/4,3/4,4/4
TeaTimeTiger,5,5,0.000000,1.000000,0.000000,0.333333,0.000000,1.000000,0.333333,0.333333,0/3,3/3,0/3,1/3,0/3,3/3,1/3,1/3
AstralArtisan,4,4,1.000000,1.000000,0.500000,0.750000,1.000000,1.000000,0.500000,0.750000,4/4,4/4,2/4,3/4,4/4,4/4,2/4,3/4
FlossyFawn,4,4,0.333333,1.000000,0.333333,0.666667,0.666667,0.666667,0.000000,0.666667,1/3,3/3,1/3,2/3,2/3,2/3,0/3,2/3
GlitteryNostalgia,4,4,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2/2,2/2,0/2,2/2,2/2,2/2,0/2,0/2
JewelJester,4,4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,2/2,2/2,2/2,2/2,2/2,2/2
MorningCoffeeSip,4,4,0.500000,1.000000,0.000000,0.500000,1.000000,1.000000,0.500000,1.000000,1/2,2/2,0/2,1/2,2/2,2/2,1/2,2/2
StellarSiren,4,4,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1/1,1/1,0/1,0/1,1/1,1/1,0/1,1/1
SundanceSalamander,4,4,,,,,,,,,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
TwilightTiger,4,4,0.000000,1.000000,0.000000,0.500000,0.000000,1.000000,0.000000,1.000000,0/2,2/2,0/2,1/2,0/2,2/2,0/2,2/2
VersatileViper,4,4,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,2/2,2/2,0/2,0/2,2/2,2/2,1/2,2/2
ZenZephyr,4,4,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0/1,1/1,1/1,1/1,1/1,1/1,0/1,1/1
ZephyrZeppelin,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0/1,0/1,0/1,0/1,0/1,0/1,0/1,0/1
FragrantFox,3,3,0.500000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,1.000000,1/2,2/2,1/2,2/2,2/2,2/2,1/2,2/2
NebulaNavigatrix,3,3,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,0/1,1/1,1/1,1/1,1/1,1/1
MosaicMaple,2,2,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2/2,2/2,0/2,0/2,2/2,2/2,0/2,0/2
RusticRook,2,2,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
